<>	1	2	3	4	5	6	7	8	9	10	11	12	
B	0.3463	0.42564	0.5535	0.29982	0.34132	0.31934	0.7098	0.29878	0.3644	0.26742	0.38144	0.57148	
C	0.2917	0.2649	0.40166	0.28686	0.34316	0.2718	0.60112	0.2718	0.34118	0.26524	0.36596	0.48202	
D	0.30888	0.32432	0.60126	0.30228	0.34856	0.31596	0.66054	0.29646	0.34978	0.25568	0.37198	0.49846	
E	0.2571	0.2504	0.47978	0.2544	0.30604	0.24408	0.51802	0.25958	0.34772	0.15894	0.35042	0.5241	
F	0.1917	0.26736	0.4663	0.2548	0.33504	0.3112	0.54972	0.28208	0.35384	0.16604	0.3533	0.5411	
G	0.1965	0.20024	0.38732	0.23952	0.25178	0.21262	0.51842	0.27116	0.37672	0.1622	0.3723	0.544	
H	0.2226	0.36258	0.47596	0.31758	0.23282	0.26874	0.6123	0.33096	0.3784	0.22134	0.37348	0.54644	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.3269	0.4895	0.77208	0.33444	0.39896	0.38504	0.99864	0.34188	0.42222	0.27146	0.438	0.70602	
B	0.36262	0.4736	0.61526	0.31528	0.36244	0.33782	0.8084	0.32144	0.40882	0.27276	0.41996	0.63086	
C	0.30076	0.27682	0.45776	0.30734	0.36112	0.28152	0.68562	0.27986	0.36138	0.26846	0.40304	0.5241	
D	0.32582	0.35654	0.68972	0.32524	0.369	0.3305	0.75306	0.3132	0.37388	0.2602	0.40572	0.53908	
E	0.28302	0.28826	0.51898	0.2619	0.32748	0.26024	0.53566	0.27396	0.36818	0.16508	0.37468	0.5604	
F	0.2072	0.30234	0.50484	0.26226	0.35622	0.33786	0.5637	0.29494	0.37252	0.17606	0.36998	0.57328	
G	0.20994	0.22858	0.43646	0.24814	0.28312	0.23162	0.56244	0.28766	0.39326	0.17562	0.4078	0.57316	
H	0.25962	0.40748	0.5217	0.3279	0.26464	0.28934	0.65146	0.34568	0.40156	0.233	0.40192	0.5822	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.35162	0.55206	0.869	0.3523	0.42482	0.40932	1.0474	0.3585	0.47036	0.28052	0.46182	0.80996	
B	0.38392	0.50932	0.68746	0.33152	0.3848	0.35586	0.9198	0.33914	0.45408	0.28042	0.466	0.71438	
C	0.31472	0.29944	0.5151	0.32218	0.38362	0.2947	0.78554	0.29714	0.38692	0.27252	0.42976	0.58728	
D	0.34446	0.40092	0.78464	0.34336	0.38928	0.34728	0.84922	0.32844	0.40626	0.26758	0.43618	0.6048	
E	0.30398	0.32518	0.54734	0.26848	0.34524	0.28068	0.56656	0.28902	0.38348	0.174	0.41278	0.60768	
F	0.23974	0.34032	0.51264	0.28146	0.38008	0.3662	0.66086	0.31206	0.39886	0.19084	0.40192	0.62136	
G	0.24258	0.264	0.4794	0.25536	0.30646	0.25354	0.62038	0.30142	0.41254	0.19216	0.44474	0.62816	
H	0.28552	0.46	0.56916	0.33218	0.2949	0.30696	0.70282	0.35824	0.42496	0.25324	0.44096	0.63992	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.38144	0.62034	0.98332	0.37472	0.4495	0.44136	1.0876	0.37582	0.49956	0.28806	0.49044	0.92564	
B	0.39426	0.54378	0.77426	0.35382	0.41006	0.37948	1.0177	0.36256	0.49418	0.28658	0.5051	0.80276	
C	0.33482	0.32086	0.56208	0.3367	0.40486	0.30516	0.89262	0.31486	0.41396	0.2745	0.45878	0.66642	
D	0.36728	0.44966	0.89326	0.3605	0.41648	0.36406	0.9166	0.3398	0.4524	0.26908	0.46356	0.69768	
E	0.32514	0.36192	0.55554	0.29166	0.37184	0.30514	0.62722	0.30494	0.40946	0.19148	0.44862	0.67848	
F	0.2639	0.38084	0.57024	0.29674	0.41156	0.3901	0.7796	0.33258	0.43204	0.20752	0.43322	0.68578	
G	0.26882	0.2948	0.51286	0.2641	0.32958	0.27572	0.70172	0.31536	0.44742	0.20478	0.48154	0.7079	
H	0.30422	0.51364	0.6287	0.35368	0.32626	0.32896	0.7852	0.3754	0.46532	0.26378	0.47728	0.67338	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
